index,source_name,resolved,matched,master_id,master_name,reason,score,has_arc
172,バスコ・ショット,バスコ・ショット,True,359,バスコ・ショット,si.find_character,,True
173,カタリーナ・デボン,カタリーナ・デボン,True,360,カタリーナ・デボン,si.find_character,,True
174,アバロ・ピサロ,アバロ・ピサロ,True,358,アバロ・ピサロ,si.find_character,,True
175,カーリー・ダダン,カーリー・ダダン,True,362,カーリー・ダダン,si.find_character,,True
176,ドグラ,ドグラ,True,367,ドグラ,si.find_character,,True
177,マグラ,マグラ,True,1270,マグラ,si.find_character,,True
178,サボ,サボ,True,363,サボ,si.find_character,,True
179,コング,コング,True,372,コング,si.find_character,,True
180,デマロ・ブラック,デマロ・ブラック,True,377,デマロ・ブラック,si.find_character,,True
181,トルコ,トルコ,True,770,トルコ,si.find_character,,True
182,マンジャロウ,マンジャロウ,True,769,マンジャロウ,si.find_character,,True
183,ドリップ,ドリップ,True,523,ドリップ,si.find_character,,True
184,カリブー,カリブー,True,373,カリブー,si.find_character,,True
185,サンクリン,サンクリン,True,789,サンクリン,si.find_character,,True
186,フカボシ,フカボシ,True,389,フカボシ,si.find_character,,True
187,リュウボシ,リュウボシ,True,391,リュウボシ,si.find_character,,True
188,マンボシ,マンボシ,True,390,マンボシ,si.find_character,,True
189,ネプチューン,ネプチューン,True,405,ネプチューン,si.find_character,,True
190,ホエ,ホエ,True,406,ホエ,si.find_character,,True
191,メガロ,メガロ,True,407,メガロ,si.find_character,,True
192,右大臣,右大臣,True,408,右大臣,si.find_character,,True
193,左大臣,左大臣,True,409,左大臣,si.find_character,,True
194,しらほし,しらほし,True,410,しらほし,si.find_character,,True
195,コアラ,コアラ,True,413,コアラ,si.find_character,,True
196,マキノの子供,マキノの子供,True,1385,マキノの子供,si.find_character,,True
197,サーファンクル,サーファンクル,True,804,サーファンクル,si.find_character,,True
198,ドンキホーテ・ミョスガルド聖,ドンキホーテ・ミョスガルド聖,True,415,ミョスガルド,si.find_character,,True
199,ナンデー,ナンデー,True,799,ナンデー,si.find_character,,True
200,アリーチェ,アリーチェ,True,768,アリーチェ,si.find_character,,True
201,シンド,シンド,True,433,シンド,si.find_character,,True
202,モチャ,モチャ,True,434,モチャ,si.find_character,,True
203,シーザー・クラウン,シーザー・クラウン,True,432,シーザークラウン,si.find_character,,True
204,錦えもん,錦えもん,True,431,錦えもん,si.find_character,,True
205,光月モモの助,光月モモの助,True,429,モモの助,si.find_character,,True
206,イッショウ（藤虎）,イッショウ(藤虎),True,477,イッショウ,si.find_character,,True
207,キュロス（片足の兵隊）,キュロス(片足の兵隊),True,510,キュロス,si.find_character,,True
208,サイ,サイ,True,461,サイ,si.find_character,,True
209,ダガマ,ダガマ,True,466,ダガマ,si.find_character,,True
210,エリザベローⅡ世,エリザベローII世,True,467,エリザベロー,si.find_character,,True
211,レベッカ,レベッカ,True,473,レベッカ,si.find_character,,True
212,ジスモンダ,ジスモンダ,True,1115,ジスモンダ,si.find_character,,True
213,タンク・レパント,タンク・レパント,True,1116,タンク・レパント,si.find_character,,True
214,ハック（魚人）,ハック(魚人),True,493,ハック,si.find_character,,True
